epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
11,,0.013521,30.756,,0.013521
12,50,0.0128508,,38.9831,
12,100,0.0131924,,40.0968,
12,150,0.0123497,,38.9693,
12,200,0.0134962,,38.993,
12,250,0.0142468,,39.0721,
12,300,0.0135273,,39.0516,
12,350,0.0141044,,38.9992,
12,400,0.012267,,39.0727,
12,450,0.0129228,,39.0407,
12,500,0.0128907,,39.0353,
12,550,0.01151,,40.0814,
12,600,0.0139099,,40.0797,
12,650,0.0140322,,38.9845,
12,700,0.0143163,,39.0353,
12,750,0.0121955,,38.9981,
12,781,0.012507,,39.0256,
12,,0.0131815,30.7077,,0.0131815
13,50,0.0129948,,39.0046,
13,100,0.0135811,,39.1097,
13,150,0.0132534,,39.072,
13,200,0.0130819,,39.6909,
13,250,0.0139187,,40.0129,
13,300,0.012811,,38.8383,
13,350,0.0122996,,39.0082,
13,400,0.0135812,,40.0814,
13,450,0.0126369,,39.0372,
13,500,0.0125788,,39.0113,
13,550,0.0120948,,40.0738,
13,600,0.0128083,,38.9912,
13,650,0.0121922,,38.9866,
13,700,0.0133515,,39.0055,
13,750,0.0137145,,39.0623,
13,781,0.0121704,,39.0132,
13,,0.0128817,30.7346,,0.0128817
14,50,0.0123067,,38.9729,
14,100,0.0122817,,38.9889,
14,150,0.0140322,,39.045,
14,200,0.0120077,,39.0404,
14,250,0.0134877,,38.9579,
14,300,0.011952,,39.2456,
14,350,0.0131958,,39.026,
14,400,0.0132864,,39.0327,
14,450,0.0129303,,59.9962,
14,500,0.0136353,,38.967,
14,550,0.0141796,,38.9687,
14,600,0.0130809,,39.0215,
14,650,0.0136235,,39.2895,
14,700,0.0127857,,40.0792,
14,750,0.0128594,,39.0189,
14,781,0.0129181,,39.0042,
14,,0.0126148,30.7636,,0.0126148
15,50,0.0124259,,39.0235,
15,100,0.0123249,,38.9375,
15,150,0.0123921,,38.8788,
15,200,0.0131035,,38.9813,
15,250,0.0114307,,40.1006,
15,300,0.0122793,,39.041,
15,350,0.0130828,,39.0164,
15,400,0.0105223,,39.0185,
15,450,0.013595,,39.0007,
15,500,0.0118307,,39.0377,
15,550,0.0128284,,39.004,
15,600,0.0130967,,39.256,
15,650,0.0120571,,38.9704,
15,700,0.0121331,,39.0367,
15,750,0.011921,,38.9798,
15,781,0.012144,,39.0015,
15,,0.0123739,30.7851,,0.0123739
16,50,0.0134854,,39.9883,
16,100,0.0112683,,38.9959,
16,150,0.0120478,,39.0334,
16,200,0.0128738,,39.0087,
16,250,0.0133179,,38.8235,
16,300,0.0122065,,39.0361,
16,350,0.0132612,,38.9581,
16,400,0.0123337,,40.0649,
16,450,0.0121079,,39.0095,
16,500,0.0111938,,39.2262,
16,550,0.0113693,,40.0606,
16,600,0.0121279,,39.0262,
16,650,0.0126435,,39.035,
16,700,0.012064,,39.0477,
16,750,0.0123526,,39.0163,
16,781,0.0118974,,39.0142,
16,,0.0121557,30.787,,0.0121557
17,50,0.0119493,,40.0121,
17,100,0.0124656,,38.8641,
17,150,0.0123629,,40.0337,
17,200,0.0122541,,39.049,
17,250,0.0128017,,39.1826,
17,300,0.0116588,,40.3568,
17,350,0.010744,,39.0245,
17,400,0.011214,,39.003,
17,450,0.012285,,40.0429,
17,500,0.0123002,,39.0425,
17,550,0.0121141,,38.9065,
17,600,0.0129058,,40.1126,
17,650,0.0124153,,39.0015,
17,700,0.0128722,,40.1004,
17,750,0.0117556,,38.953,
17,781,0.0125656,,40.0567,
17,,0.0119551,30.7943,,0.0119551
18,50,0.0116815,,40.0286,
18,100,0.012666,,40.1901,
18,150,0.0110271,,40.1102,
18,200,0.012574,,38.9769,
18,250,0.0117457,,38.8547,
18,300,0.0128905,,39.1975,
18,350,0.0124001,,40.0649,
18,400,0.0118915,,40.1114,
18,450,0.0120895,,38.9284,
18,500,0.0120188,,41.1283,
18,550,0.0114818,,39.0433,
18,600,0.0123113,,39.0664,
18,650,0.0121638,,38.9563,
18,700,0.0107384,,39.0096,
18,750,0.0118056,,39.0349,
18,781,0.0116042,,42.1372,
18,,0.0117701,30.8215,,0.0117701
19,50,0.0111855,,39.0047,
19,100,0.0116274,,39.066,
19,150,0.011183,,39.0132,
19,200,0.0129056,,40.0684,
19,250,0.0124742,,40.2106,
19,300,0.0111298,,39.1478,
19,350,0.0131124,,40.1335,
19,400,0.0121113,,38.9578,
19,450,0.0111881,,39.3981,
19,500,0.0121129,,39.0081,
19,550,0.0121296,,38.9878,
19,600,0.0120618,,40.0368,
19,650,0.0118683,,39.0521,
19,700,0.0122044,,39.0343,
19,750,0.0109028,,39.0465,
19,781,0.0129915,,39.028,
19,,0.0115991,30.8081,,0.0115991
20,50,0.0102591,,39.0183,
20,100,0.0117463,,39.9007,
20,150,0.0111323,,40.0033,
20,200,0.0111213,,41.0999,
20,250,0.0116245,,39.0153,
20,300,0.0114119,,39.0569,
20,350,0.0118599,,39.0568,
20,400,0.0121099,,39.0663,
20,450,0.0106292,,39.042,
20,500,0.010863,,39.0049,
20,550,0.0116636,,39.8691,
20,600,0.0117331,,39.0415,
20,650,0.0111593,,39.238,
20,700,0.0112626,,38.9998,
20,750,0.0115162,,39.0056,
20,781,0.0108872,,40.071,
20,,0.0114398,30.8027,,0.0114398
