epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
4,350,0.017645,,42.3062,
4,400,0.0202673,,41.9142,
4,450,0.01774,,41.5708,
4,500,0.0190146,,41.484,
4,550,0.0208035,,41.4694,
4,600,0.0183157,,41.497,
4,650,0.0164866,,41.2707,
4,700,0.0170548,,41.4266,
4,750,0.0165253,,41.3865,
4,781,0.0178465,,41.6082,
4,,0.0187272,32.4289,,0.0187272
5,50,0.0180335,,41.5479,
5,100,0.0180745,,41.3393,
5,150,0.0198123,,41.5408,
5,200,0.0181483,,41.385,
5,250,0.0171208,,41.6534,
5,300,0.0184041,,41.401,
5,350,0.0160754,,41.9201,
5,400,0.0164879,,41.4135,
5,450,0.0177816,,41.9626,
5,500,0.0177406,,41.198,
5,550,0.017259,,41.3189,
5,600,0.0160764,,41.4081,
5,650,0.0158791,,41.6169,
5,700,0.016611,,41.3928,
5,750,0.0175846,,41.397,
5,781,0.0172674,,41.7152,
5,,0.0173551,32.4321,,0.0173551
6,50,0.0161203,,41.2735,
6,100,0.0173489,,41.4755,
6,150,0.0167823,,41.3878,
6,200,0.0185275,,41.4756,
6,250,0.0157364,,41.4363,
6,300,0.0153082,,41.6286,
6,350,0.0166287,,41.5322,
6,400,0.0170603,,41.1996,
6,450,0.0155752,,41.3038,
6,500,0.0156692,,41.2618,
6,550,0.015928,,41.2952,
6,600,0.0150253,,41.4295,
6,650,0.014673,,41.3986,
6,700,0.0160141,,41.4668,
6,750,0.0166897,,41.5991,
6,781,0.0147044,,41.2371,
6,,0.0163381,32.3413,,0.0163381
7,50,0.0164008,,41.2466,
7,100,0.0138209,,41.4697,
7,150,0.0165739,,41.2291,
7,200,0.0153933,,41.4098,
7,250,0.0151184,,42.4527,
7,300,0.0166075,,41.4001,
7,350,0.0163586,,41.6918,
7,400,0.0149341,,41.9115,
7,450,0.0151428,,41.2266,
7,500,0.0138309,,41.4188,
7,550,0.0160193,,41.5717,
7,600,0.0146267,,41.1642,
7,650,0.0161734,,41.3864,
7,700,0.0142923,,41.7562,
7,750,0.0143525,,41.3036,
7,781,0.0160066,,41.356,
7,,0.0155413,32.4051,,0.0155413
8,50,0.0149915,,41.7854,
8,100,0.0145347,,41.1661,
8,150,0.0140455,,41.5001,
8,200,0.0161602,,41.761,
8,250,0.0155422,,41.195,
8,300,0.0142394,,41.3063,
8,350,0.0157236,,41.5037,
8,400,0.0143665,,41.3823,
8,450,0.0148262,,41.342,
8,500,0.0147194,,41.7445,
8,550,0.0140216,,41.4094,
8,600,0.0149473,,41.2659,
8,650,0.0145648,,41.6344,
8,700,0.0151409,,41.4037,
8,750,0.0139145,,41.4748,
8,781,0.014121,,41.2441,
8,,0.0148964,32.3817,,0.0148964
9,50,0.0127489,,41.3371,
9,100,0.0131997,,41.238,
9,150,0.0147039,,41.5061,
9,200,0.0140416,,41.3846,
9,250,0.0158325,,41.3332,
9,300,0.0140861,,41.3791,
9,350,0.0133243,,41.5262,
9,400,0.0152329,,41.2048,
9,450,0.0137722,,41.4248,
9,500,0.0134282,,41.6861,
9,550,0.0139912,,41.3723,
9,600,0.0142941,,41.5118,
9,650,0.0156528,,41.6439,
9,700,0.0146074,,41.441,
9,750,0.0136715,,41.3012,
9,781,0.013186,,41.4269,
9,,0.0143625,32.3755,,0.0143625
10,50,0.0141122,,41.7168,
10,100,0.012991,,41.4377,
10,150,0.01359,,41.2234,
10,200,0.0149186,,41.6474,
10,250,0.0148304,,41.2491,
10,300,0.013839,,41.3936,
10,350,0.0137446,,41.4076,
10,400,0.0144019,,41.8264,
10,450,0.0136026,,41.1105,
10,500,0.01449,,41.5442,
10,550,0.0136781,,41.4064,
10,600,0.0120812,,41.8035,
10,650,0.0153988,,41.1669,
10,700,0.0151278,,41.4504,
10,750,0.0131723,,41.473,
10,781,0.0139638,,41.4755,
10,,0.0139099,32.3885,,0.0139099
11,50,0.0127939,,41.3918,
11,100,0.0136796,,41.3221,
11,150,0.01409,,41.6883,
11,200,0.0130074,,41.4454,
11,250,0.013819,,42.3542,
11,300,0.013628,,41.3829,
11,350,0.0141747,,41.4935,
11,400,0.0136393,,41.5073,
11,450,0.0131094,,41.4893,
11,500,0.0148063,,41.3053,
11,550,0.0133415,,41.4354,
11,600,0.0135885,,41.5341,
11,650,0.0131377,,41.1508,
11,700,0.0133145,,41.5008,
11,750,0.0138477,,41.3885,
11,781,0.0129017,,41.2935,
11,,0.013521,32.3978,,0.013521
12,50,0.0128509,,41.8899,
12,100,0.0131924,,41.3432,
12,150,0.0123498,,41.4176,
12,200,0.0134962,,41.458,
12,250,0.0142468,,41.4272,
12,300,0.0135273,,41.4594,
12,350,0.0141044,,41.4779,
12,400,0.012267,,41.4962,
12,450,0.0129228,,41.5066,
12,500,0.0128908,,41.4827,
12,550,0.0115101,,41.718,
12,600,0.0139099,,41.3193,
12,650,0.0140322,,41.2154,
12,700,0.0143164,,41.3548,
12,750,0.0121956,,41.9127,
12,781,0.012507,,41.5899,
12,,0.0131815,32.3844,,0.0131815
13,50,0.0129948,,41.3815,
13,100,0.0135811,,41.3655,
13,150,0.0132534,,41.4791,
13,200,0.0130819,,41.401,
13,250,0.0139187,,41.3969,
13,300,0.012811,,41.5681,
13,350,0.0122996,,41.6688,
13,400,0.0135812,,41.6556,
13,450,0.0126369,,41.6734,
13,500,0.0125788,,41.4167,
13,550,0.0120949,,42.1766,
13,600,0.0128083,,41.4005,
13,650,0.0121923,,41.5635,
13,700,0.0133516,,41.2856,
13,750,0.0137145,,41.2589,
13,781,0.0121704,,41.4747,
13,,0.0128817,32.3677,,0.0128817
14,50,0.0123067,,41.1746,
14,100,0.0122817,,41.4965,
14,150,0.0140322,,41.5345,
14,200,0.0120077,,41.4085,
14,250,0.0134877,,41.4068,
14,300,0.011952,,41.5659,
14,350,0.0131958,,41.3428,
14,400,0.0132864,,41.1272,
14,450,0.0129304,,41.3038,
14,500,0.0136353,,41.3946,
14,550,0.0141796,,41.4834,
14,600,0.0130809,,41.3703,
14,650,0.0136235,,41.3797,
14,700,0.0127857,,41.4859,
14,750,0.0128594,,41.5378,
14,781,0.0129181,,41.223,
14,,0.0126148,32.3689,,0.0126148
15,50,0.0124259,,41.4653,
15,100,0.0123249,,41.3818,
15,150,0.0123922,,41.4985,
15,200,0.0131035,,41.9324,
15,250,0.0114307,,41.398,
15,300,0.0122793,,41.4889,
15,350,0.0130828,,41.3334,
15,400,0.0105223,,41.4122,
15,450,0.0135951,,41.683,
15,500,0.0118307,,41.8342,
15,550,0.0128284,,41.5206,
15,600,0.0130967,,41.4886,
15,650,0.0120571,,41.4552,
15,700,0.0121331,,41.7212,
15,750,0.011921,,41.8082,
15,781,0.012144,,41.4956,
15,,0.0123739,32.3754,,0.0123739
16,50,0.0134854,,41.351,
16,100,0.0112683,,41.6808,
16,150,0.0120479,,41.2165,
16,200,0.0128739,,41.4351,
16,250,0.0133179,,41.7784,
16,300,0.0122066,,41.2354,
16,350,0.0132612,,41.4463,
16,400,0.0123338,,41.4443,
16,450,0.012108,,41.6266,
16,500,0.0111938,,41.1512,
16,550,0.0113693,,41.362,
16,600,0.0121279,,41.4849,
16,650,0.0126435,,41.4067,
16,700,0.012064,,41.222,
16,750,0.0123527,,41.3518,
16,781,0.0118974,,41.5606,
16,,0.0121558,32.3831,,0.0121558
17,50,0.0119493,,41.1076,
17,100,0.0124656,,41.4363,
17,150,0.0123629,,41.4009,
17,200,0.0122541,,41.6451,
17,250,0.0128017,,41.5809,
17,300,0.0116588,,41.5507,
17,350,0.010744,,41.5519,
17,400,0.0112141,,41.425,
17,450,0.012285,,41.2698,
17,500,0.0123002,,41.3871,
17,550,0.0121141,,41.3655,
17,600,0.0129058,,41.4032,
17,650,0.0124153,,41.6399,
17,700,0.0128722,,41.1834,
17,750,0.0117556,,41.4774,
17,781,0.0125656,,41.6177,
17,,0.0119551,32.3822,,0.0119551
18,50,0.0116815,,41.5613,
18,100,0.012666,,42.3543,
18,150,0.0110271,,41.4524,
18,200,0.012574,,41.3902,
18,250,0.0117457,,41.4701,
18,300,0.0128905,,41.6039,
18,350,0.0124001,,41.4006,
18,400,0.0118915,,41.4741,
18,450,0.0120895,,41.5628,
18,500,0.0120188,,41.5547,
18,550,0.0114818,,41.3677,
18,600,0.0123113,,41.4036,
18,650,0.0121638,,41.4541,
18,700,0.0107384,,41.4303,
18,750,0.0118056,,41.3591,
18,781,0.0116042,,42.1836,
18,,0.0117701,32.3873,,0.0117701
19,50,0.0111855,,41.5583,
19,100,0.0116274,,41.1789,
19,150,0.011183,,41.5344,
19,200,0.0129056,,41.3873,
19,250,0.0124742,,41.5673,
19,300,0.0111298,,41.3717,
19,350,0.0131124,,41.4167,
19,400,0.0121113,,41.4509,
19,450,0.0111881,,41.4394,
19,500,0.0121129,,41.7211,
19,550,0.0121296,,41.7157,
19,600,0.0120618,,41.3665,
19,650,0.0118683,,41.4093,
19,700,0.0122044,,41.5528,
19,750,0.0109028,,41.3636,
19,781,0.0129915,,41.4315,
19,,0.0115991,32.3975,,0.0115991
20,50,0.0102591,,41.5915,
20,100,0.0117463,,41.3503,
20,150,0.0111323,,41.6682,
20,200,0.0111213,,41.5105,
20,250,0.0116245,,41.3497,
20,300,0.0114119,,41.5208,
20,350,0.01186,,41.1795,
20,400,0.0121099,,41.3085,
20,450,0.0106292,,41.764,
20,500,0.010863,,41.1911,
20,550,0.0116636,,41.846,
20,600,0.0117331,,41.387,
20,650,0.0111593,,41.3722,
20,700,0.0112626,,41.4354,
20,750,0.0115163,,41.5398,
20,781,0.0108872,,41.8242,
20,,0.0114398,32.4222,,0.0114398
