epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
1,50,0.508441,,40.4607,
1,100,0.49444,,40.4509,
1,150,0.487155,,40.7758,
1,200,0.478968,,41.3213,
1,250,0.489924,,40.7597,
1,300,0.490657,,40.532,
1,350,0.484406,,40.9902,
1,400,0.454711,,40.8629,
1,450,0.486029,,40.4478,
1,500,0.489515,,40.847,
1,550,0.462669,,40.9025,
1,600,0.482612,,40.7926,
1,650,0.498279,,40.804,
1,700,0.467512,,40.5867,
1,750,0.492017,,42.8018,
1,781,0.473823,,40.8133,
1,,0.48669,33.0447,,0.48669
2,50,0.47352,,40.8253,
2,100,0.476911,,40.9898,
2,150,0.484551,,41.8916,
2,200,0.476451,,40.8745,
2,250,0.460618,,40.9838,
2,300,0.454997,,40.8859,
2,350,0.463236,,40.876,
2,400,0.480527,,41.0417,
2,450,0.48432,,40.9595,
2,500,0.476072,,41.0273,
2,550,0.467232,,41.052,
2,600,0.471909,,40.8417,
2,650,0.46689,,41.0161,
2,700,0.470546,,41.7688,
2,750,0.482226,,41.1911,
2,781,0.454149,,41.0783,
2,,0.475153,32.0299,,0.475153
3,50,0.47138,,41.1526,
3,100,0.4648,,40.9625,
3,150,0.446369,,41.3171,
3,200,0.495236,,41.2056,
3,250,0.474957,,41.1339,
3,300,0.460746,,41.2981,
3,350,0.47797,,40.9182,
3,400,0.490462,,41.2725,
3,450,0.458213,,40.8648,
3,500,0.490301,,41.1755,
3,550,0.452281,,41.2267,
3,600,0.494013,,41.1168,
3,650,0.483099,,40.9851,
3,700,0.468139,,41.2531,
3,750,0.479808,,41.2242,
3,781,0.465904,,41.1801,
3,,0.472188,32.1868,,0.472188
4,50,0.460668,,41.0443,
4,100,0.481009,,41.133,
4,150,0.463738,,41.3361,
4,200,0.479476,,41.3161,
4,250,0.46865,,41.4586,
4,300,0.461554,,41.4216,
4,350,0.459855,,41.0072,
4,400,0.470775,,42.8594,
4,450,0.471728,,41.5095,
4,500,0.499711,,42.7088,
4,550,0.467375,,41.3051,
4,600,0.462687,,41.3906,
4,650,0.467374,,41.3731,
4,700,0.475282,,41.1978,
4,750,0.442655,,41.008,
4,781,0.477047,,41.242,
4,,0.470756,32.383,,0.470756
5,50,0.465807,,41.4227,
5,100,0.454229,,41.0592,
5,150,0.485518,,41.4772,
5,200,0.46738,,41.3092,
5,250,0.48219,,41.2594,
